received,sent,protocol
11:11:22,11:11:21,HTTP
11:11:32,11:11:31,HTTP
11:11:42,11:11:41,HTTP
11:11:53,11:11:52,HTTP
11:12:03,11:12:02,HTTP
11:12:14,11:12:13,HTTP
11:12:25,11:12:23,HTTP
11:12:35,11:12:34,HTTP
11:12:45,11:12:44,HTTP
11:12:56,11:12:55,HTTP
11:13:07,11:13:06,HTTP
11:13:17,11:13:16,HTTP
11:13:28,11:13:27,HTTP
11:13:38,11:13:37,HTTP
11:13:49,11:13:48,HTTP
11:14:00,11:13:59,HTTP
11:14:10,11:14:09,HTTP
11:14:21,11:14:20,HTTP
11:14:31,11:14:30,HTTP
11:14:42,11:14:41,HTTP
11:14:52,11:14:51,HTTP
11:15:03,11:15:02,HTTP
11:15:14,11:15:13,HTTP
11:15:24,11:15:23,HTTP
11:15:35,11:15:34,HTTP
11:15:46,11:15:44,HTTP
11:50:04,11:50:02,HTTP
11:50:15,11:50:14,HTTP
12:06:14,12:06:11,MQTT
12:06:14,12:06:11,MQTT
12:06:25,12:06:23,MQTT
12:06:36,12:06:34,MQTT
12:06:47,12:06:45,MQTT
12:07:15,12:07:07,HTTP
12:07:17,12:07:15,MQTT
12:07:17,12:07:15,MQTT
12:07:28,12:07:26,MQTT
12:07:28,12:07:26,MQTT
12:07:39,12:07:37,MQTT
12:07:50,12:07:48,MQTT
12:08:01,12:07:58,MQTT
12:08:01,12:07:58,MQTT
12:08:12,12:08:09,MQTT
12:08:23,12:08:21,MQTT
12:08:34,12:08:32,MQTT
12:08:45,12:08:43,MQTT
12:08:56,12:08:53,MQTT
12:09:07,12:09:04,MQTT
12:09:07,12:09:04,MQTT
12:09:18,12:09:15,MQTT
12:09:29,12:09:26,MQTT
12:09:40,12:09:38,MQTT
12:09:40,12:09:38,MQTT
12:09:51,12:09:48,MQTT
12:09:51,12:09:48,MQTT
12:10:01,12:09:59,MQTT
12:10:12,12:10:10,MQTT
12:10:23,12:10:21,MQTT
12:10:35,12:10:32,MQTT
12:10:46,12:10:44,MQTT
12:10:57,12:10:54,MQTT
12:11:08,12:11:06,MQTT
12:11:19,12:11:16,MQTT
12:12:25,12:12:23,MQTT
12:12:36,12:12:34,MQTT
12:12:47,12:12:45,MQTT
12:12:47,12:12:45,MQTT
